date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,2461,301,412,97,106
2020-04-13,2434,2342,401,634,101,115
2020-04-14,2417,2231,602,845,110,123
2020-04-15,2434,2129,803,1046,120,131
2020-04-16,2459,2036,1003,1238,130,138
2020-04-17,2453,1952,1204,1422,140,145
2020-04-18,2458,1878,1405,1598,150,152
2020-04-19,2487,1814,1606,1768,160,159
2020-04-20,2524,1760,1806,1932,170,165
2020-04-21,2519,1715,2007,2091,181,171
2020-04-22,2521,1679,2208,2246,192,177
2020-04-23,2550,1651,2409,2398,201,183
2020-04-24,2616,1631,2609,2547,210,189
2020-04-25,2658,1619,2810,2694,219,195
2020-04-26,2671,1613,3011,2840,225,201
2020-04-27,2672,1614,3212,2986,231,207
2020-04-28,2683,1622,3413,3132,239,213
2020-04-29,2711,1635,3614,3278,250,219
2020-04-30,2785,1654,3816,3426,264,225
2020-05-01,2862,1678,4017,3575,277,231
2020-05-02,2891,1707,4219,3727,291,237
2020-05-03,2880,1741,4441,3881,301,243
2020-05-04,2876,1780,4684,4038,318,249
2020-05-05,2879,1823,4948,4199,342,255
2020-05-06,2857,1871,5212,4364,370,261
2020-05-07,2864,1923,5476,4533,393,267
2020-05-08,2903,1978,5740,4707,408,274
2020-05-09,2899,2036,6004,4886,420,281
2020-05-10,2842,2097,6247,5070,428,288
2020-05-11,2785,2160,6469,5259,440,295
2020-05-12,2767,2227,6671,5454,452,302
2020-05-13,2820,2297,6873,5655,467,310
2020-05-14,2904,2370,7075,5862,479,318
2020-05-15,3031,2446,7277,6076,494,326
2020-05-16,3086,2524,7479,6297,508,334
2020-05-17,3069,2604,7695,6525,519,343
2020-05-18,3017,2687,7926,6760,534,352
2020-05-19,2979,2774,8172,7003,550,361
2020-05-20,2978,2864,8418,7253,568,370
2020-05-21,3027,2957,8663,7512,581,380
2020-05-22,3111,3052,8909,7779,597,390
2020-05-23,3196,3147,9155,8055,612,400
2020-05-24,3212,3241,9404,8339,625,411
2020-05-25,3188,3335,9658,8632,637,422
2020-05-26,3177,3431,9915,8933,652,433
2020-05-27,3205,3530,10173,9243,671,444
2020-05-28,3282,3632,10430,9562,691,456
2020-05-29,3402,3737,10688,9890,708,468
2020-05-30,3514,3843,10945,10227,722,480
2020-05-31,3550,3949,11219,10574,732,493
2020-06-01,3516,4058,11510,10931,746,506
2020-06-02,3458,4171,11818,11297,762,519
2020-06-03,3401,4288,12125,11674,781,533
2020-06-04,3324,4408,12433,12061,793,547
2020-06-05,3247,4530,12740,12459,802,561
