date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2186,2252,132,222,15,16
2020-04-13,2154,2315,191,315,16,17
2020-04-14,2115,2393,310,411,17,18
2020-04-15,2188,2479,341,510,20,19
2020-04-16,2267,2571,385,612,22,20
2020-04-17,2319,2668,455,718,23,21
2020-04-18,2339,2788,562,828,25,22
2020-04-19,2367,2898,673,943,26,23
2020-04-20,2383,3006,781,1063,29,24
2020-04-21,2408,3127,878,1187,32,25
2020-04-22,2448,3255,969,1316,34,26
2020-04-23,2487,3380,1090,1450,36,27
2020-04-24,2509,3531,1233,1590,38,28
2020-04-25,2504,3695,1406,1736,41,29
2020-04-26,2523,3843,1536,1889,43,31
2020-04-27,2553,3980,1637,2048,44,33
2020-04-28,2604,4127,1711,2212,44,35
2020-04-29,2648,4276,1811,2382,45,37
2020-04-30,2688,4426,1930,2559,47,39
2020-05-01,2718,4555,2062,2742,48,41
2020-05-02,2785,4701,2161,2930,50,43
2020-05-03,2852,4833,2255,3124,52,45
2020-05-04,2936,4946,2322,3324,55,47
2020-05-05,2985,5056,2412,3528,56,49
2020-05-06,3018,5184,2512,3737,59,51
2020-05-07,3045,5319,2639,3951,62,53
2020-05-08,3080,5470,2770,4171,65,55
2020-05-09,3124,5632,2901,4397,66,57
2020-05-10,3133,5774,3038,4630,67,59
2020-05-11,3119,5889,3160,4868,69,61
2020-05-12,3115,5991,3284,5111,72,63
2020-05-13,3112,6109,3413,5358,75,65
2020-05-14,3121,6234,3563,5610,76,68
2020-05-15,3106,6401,3727,5867,77,71
2020-05-16,3098,6576,3896,6131,79,74
2020-05-17,3056,6735,4091,6402,83,77
2020-05-18,3027,6846,4267,6680,86,80
2020-05-19,3066,6966,4383,6963,88,83
2020-05-20,3130,7104,4480,7251,90,86
2020-05-21,3200,7255,4589,7544,91,89
2020-05-22,3222,7481,4747,7844,94,92
2020-05-23,3231,7751,4909,8153,96,95
2020-05-24,3229,8014,5065,8473,97,98
2020-05-25,3197,8229,5215,8804,99,101
2020-05-26,3160,8310,5354,9144,101,104
2020-05-27,3156,8398,5489,9487,104,107
2020-05-28,3212,8499,5645,9834,106,110
2020-05-29,3321,8693,5810,10185,108,113
2020-05-30,3439,8944,5981,10544,111,117
2020-05-31,3535,9158,6127,10913,114,121
2020-06-01,3649,9319,6235,11291,115,125
2020-06-02,3758,9350,6357,11676,117,129
2020-06-03,3904,9395,6482,12062,118,133
2020-06-04,4096,9446,6639,12450,119,137
2020-06-05,4382,9529,6785,12840,120,141
2020-06-06,4638,9604,6945,13233,122,145
2020-06-07,4839,9563,7100,13629,123,149
2020-06-08,4939,9504,7251,14024,125,153
2020-06-09,5044,9430,7411,14416,126,157
2020-06-10,5189,9382,7574,14805,128,161
2020-06-11,5343,9360,7755,15192,133,165
2020-06-12,5535,9365,7931,15578,137,169
2020-06-13,5716,9398,8100,15965,141,173
2020-06-14,5910,9421,8248,16353,142,177
2020-06-15,6109,9390,8367,16742,143,181
2020-06-16,6351,9367,8467,17130,145,185
2020-06-17,6623,9342,8602,17517,148,189
2020-06-18,6900,9308,8817,17903,152,193
2020-06-19,7193,9293,9096,18287,155,197
2020-06-20,7440,9260,9387,18671,158,201
2020-06-21,7681,9279,9637,19053,160,205
2020-06-22,7868,9239,9859,19436,162,209
2020-06-23,8083,9177,10084,19817,163,213
2020-06-24,8312,9124,10344,20196,163,217
2020-06-25,8547,9102,10691,20573,164,221
2020-06-26,8720,9091,11132,20949,165,225
2020-06-27,8863,9087,11562,21324,167,229
2020-06-28,9032,9045,11931,21699,167,233
2020-06-29,9313,8934,12178,22072,169,237
2020-06-30,9592,8814,12436,22441,171,240
2020-07-01,9834,8712,12727,22805,173,243
2020-07-02,10044,8633,13063,23165,177,246
2020-07-03,10282,8567,13430,23521,180,249
2020-07-04,10483,8536,13787,23875,183,252
2020-07-05,10667,8551,14134,24227,186,255
2020-07-06,10842,8432,14453,24580,189,258
2020-07-07,11094,8322,14796,24928,195,261
2020-07-08,11313,8251,15201,25272,200,264
2020-07-09,11540,8196,15700,25613,204,267
2020-07-10,11663,8144,16273,25951,208,270
2020-07-11,11823,8127,16820,26287,211,273
2020-07-12,11933,8117,17309,26623,214,276
2020-07-13,12064,8082,17714,26958,219,279
2020-07-14,12097,8062,18144,27292,225,282
2020-07-15,12201,8047,18639,27625,231,285
2020-07-16,12312,8006,19223,27957,234,288
2020-07-17,12513,7976,19832,28288,238,291
