date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3806,4058,1587,1658,105,107
2020-04-13,3769,4408,1714,1736,111,110
2020-04-14,3748,4805,1945,1824,122,113
2020-04-15,3610,5211,2317,1923,133,116
2020-04-16,3546,5630,2666,2033,139,119
2020-04-17,3458,6026,3012,2156,142,123
2020-04-18,3525,6420,3198,2292,145,127
2020-04-19,3570,6732,3384,2441,148,131
2020-04-20,3639,7045,3582,2603,152,135
2020-04-21,3756,7365,3805,2777,158,140
2020-04-22,3957,7672,4011,2965,164,145
2020-04-23,4246,7948,4191,3166,168,150
2020-04-24,4497,8245,4343,3381,172,155
2020-04-25,4739,8529,4454,3610,175,160
2020-04-26,4914,8787,4571,3854,181,166
2020-04-27,5050,9021,4722,4112,184,172
2020-04-28,5152,9238,4994,4384,189,178
2020-04-29,5485,9422,5270,4670,194,184
2020-04-30,6052,9633,5478,4969,199,190
2020-05-01,6591,9819,5603,5283,204,197
2020-05-02,6958,9997,5692,5611,207,204
2020-05-03,7080,10146,5871,5954,212,211
2020-05-04,7151,10261,6083,6310,218,218
2020-05-05,7144,10376,6333,6679,228,225
2020-05-06,7184,10490,6567,7061,234,232
2020-05-07,7242,10609,6786,7456,239,239
2020-05-08,7250,10703,7054,7864,240,247
2020-05-09,7229,10799,7302,8285,242,255
2020-05-10,7230,10949,7645,8719,245,263
2020-05-11,7400,11062,7967,9168,252,271
2020-05-12,7547,11166,8332,9631,262,279
2020-05-13,7680,11227,8613,10108,274,287
2020-05-14,7614,11315,8928,10597,283,295
2020-05-15,7543,11332,9230,11099,290,303
2020-05-16,7590,11300,9487,11612,294,311
2020-05-17,7741,11343,9689,12132,298,319
2020-05-18,7640,11439,10169,12664,301,327
2020-05-19,7238,11545,10879,13209,305,336
2020-05-20,6791,11665,11647,13769,309,345
2020-05-21,6597,11746,12180,14344,312,354
2020-05-22,6666,11773,12500,14932,319,363
2020-05-23,6821,11758,12716,15530,326,372
2020-05-24,7091,11711,12885,16136,334,381
2020-05-25,7314,11810,13084,16749,339,390
2020-05-26,7336,11893,13444,17376,344,399
2020-05-27,7198,11958,13964,18016,350,408
2020-05-28,6999,11973,14504,18668,356,417
2020-05-29,6996,11962,14930,19329,360,426
2020-05-30,7201,11947,15152,19998,364,435
2020-05-31,7554,11911,15352,20674,366,444
2020-06-01,7926,11909,15593,21356,371,453
2020-06-02,8113,11977,15933,22045,378,462
2020-06-03,8150,12030,16292,22746,390,472
2020-06-04,8167,12041,16629,23457,399,482
2020-06-05,8292,11950,16897,24176,408,492
2020-06-06,8561,11904,17090,24897,414,502
2020-06-07,8804,11908,17303,25622,418,512
2020-06-08,9001,11991,17599,26354,424,522
2020-06-09,9064,12137,18030,27098,430,532
2020-06-10,9121,12229,18507,27857,437,542
2020-06-11,9168,12298,18977,28629,448,552
2020-06-12,9315,12286,19382,29411,460,562
2020-06-13,9564,12324,19684,30198,471,572
2020-06-14,9962,12166,19896,30994,476,582
2020-06-15,10269,12170,20222,31785,483,592
2020-06-16,10373,12190,20684,32582,491,602
2020-06-17,10439,12260,21313,33386,499,612
2020-06-18,10566,12278,21920,34199,510,622
